short,latitude,longitude,Name,Population
BY,48.94757591,11.41991194,Bayern,12997204
HH,53.54767639,10.01564489,Hamburg,1830584
SN,51.05233254,13.3485562,Sachsen,4081308
BE,52.50152685,13.4018589,Berlin,3613495
SH,54.18413294,9.816326121,Schleswig-Holstein,2889821
RP,49.91368518,7.44911865,Rheinland-Pfalz,4073679
ST,52.01317731,11.70068036,Sachsen-Anhalt,2223081
HB,53.19961052,8.74346336,Bremen,681032
MV,53.75319235,12.53464617,Mecklenburg-Vorpommern,1611119
SL,49.38436526,6.953133872,Saarland,994187
NW,51.4798348,7.562279778,Nordrhein-Westfalen,17912134
HE,50.60322292,9.031056892,Hessen,6243262
NI,52.76571811,9.160048931,Niedersachsen,7962775
BB,52.47288413,13.39776774,Brandenburg,2504040
TH,50.90387503,11.02487358,Thueringen,2151205
BW,48.54546874,9.046412329,Baden-Wuerttemberg,11023425
